# File Format is TSV(Tab Separated Value)
# If you want to add more languages, add elements separated by tabs.
# ID	Name(en)	            Name(jp)	Name(cn)
44	    Steel Trap	トラバサミ	捕兽夹
45	    Magick Mie	マジックマイン	魔法地雷
46	    Magick Bomb	マジックボム	魔法炸弹
47	    Novice Military Treatise	初級指導書	初级指南
48	    Standard Military Treatise	中級指導書	中级指南
49	    Expert  Military Treatise	上級指導書	高级指南
50	    Master Military Treatise	特急指導書	特殊指南
51	    Supreme Military Treatise	最上級指導書	卓越指南
52	    Miracle Fruit	奇跡の果実	奇迹果实
53	    Dew of Vitality	生命の雫	生命之露
54	    Dew of Strength	腕力の雫	力量之露
55	    Dew of Protection	防御の雫	防御之露
56	    Dew of Knowledge	知力の雫	智慧之露
57	    Dew of Warding	加護の雫	加护之露
58	    Dew of Skill	技量の雫	技艺之露
59	    Dew of Acuity	見切の雫	洞察之露
60	    Dew of Keenness	必殺の雫	必杀之露
61	    Dew of Parrrying	堅守の雫	坚守之露
62	    Dew of Agility	敏捷の雫	敏捷之露
63	    Dew of Illusion	幻の雫	幻之露
64	    	隕鉄石	陨铁石
65	    	フェブライト	铁矿石
66	    Idealist's Handmirror	イデアの手鏡	理想手镜
67	    Goat Biscuit	ゴートクッキー	山羊曲奇
68	    Free Meal Ticket	無料食事券	免费餐券
69	    Free Mining Pass	無料採掘権	免费采掘券
70	    Black Market Permit	漆黒の交易許可証	漆黑的交易许可证
71	    Bastorias Blue	バストリアスブルー	巴斯托里亚蓝
72	    Orphanage Key	孤児院の鍵	孤儿院钥匙
73	    Juicy Aged Meat Steak	熟成肉のジューシーステーキ	鲜嫩肉眼牛排
74	    Mellow Cheese Hamburger	まろやかチーズのハンバーグ	醇厚芝士汉堡
75	    Rich Pot-Grilled Doria	濃厚鍋焼きドリア	丰盛锅烤多利亚
76	    Fluffy Egg Omelet	ふわふわ卵のオムライス	松软鸡蛋卷
77	    Seafood Paella	海の幸のパエリア	海鲜烩饭
78	    White Fish Aqua Pazza	白身魚のアクアパッツァ	白鱼清炖
79	    Plump Oyster Ajillo	プリプリ牡蠣のアヒージョ	鲜嫩牡蛎烩
80	    Eggplant And Tomato Pasta	茄子とトマトのパスタ	茄子番茄意面
81	    Beef Pot-Au-Feu With Chunky Vegetables	ごろごろ野菜のビーフポトフ	带有粗糙蔬菜的牛肉炖
82	    Guinea Chicken Grilled With Herbs	ほろほろチキンの香草焼き	香草烤几内亚鸡
83	    Basil And Fish Carpaccio	バジルと魚のカルパッチョ	罗勒和鱼薄片
84	    Fresh Tomato Margherita	フレッシュトマトのマルゲリータ	新鲜番茄玛格丽塔
85	    Creamy Eggs Benedict	クリーミーエッグベネディクト	奶油鸡蛋班尼迪克特
86	    Soft-Boiled Egg And Bacon Galette	半熟卵とベーコンのガレット	软煮鸡蛋和培根薄煎饼
87	    Crispy Lettuce Baguette Sandwich	パリパリレタスのバゲットサンド	脆生菜法棍三明治
88	    Exquisite Strawberry Freisier	ストロベリィの絶品フレジェ	精致草莓费尔泽
89	    Dense Apple Tarte Tatin	密りんごのタルトタタン	浓郁苹果塔坦
90	    Cornut Lumber	コルナット材	角形木材
91	    Dracia Lumber 	ドラシア材	德拉西亚木材
92	    Elgrove Lumber	エルグローブ材	埃尔格罗夫木材
93	    Baspine Lumber	バスパイン材	巴斯派恩木材
94	    Albirch Lumber	アルバーチ材	奥尔麦木材
95	    Corsite Stone	コルサイト石	钙石
96	    Sedranite Stone	セドラナイト石	锡德拉石
97	    Felcite Stone	フェルカイト石	费尔克石
98	    Bastrite Stone	バースライト石	贝斯赖石
99	    Alcedony Stone	アルセドニー石	蓝玉石
100	    Corvia Herb	コルビア草	科比亚草
101	    Holdra Herb	ガードラ草	加德拉草
102	    Elweiss Herb	エルワイス草	艾尔薇丝草
103	    Bascaria Herb	バスカリア草	巴斯卡利亚草
104	    Althus Herb	アルサス草	阿尔苏斯草
105	    Cornian Sardine	コルニアサーディン	科尔尼亚沙丁鱼
106	    Draken Sea Bream	ドラゴンシーブリーム	龙鲷鱼
107	    Elheim Mullet	エルヘイムマレット	艾尔海姆木材
108	    Bastroian Salmon	バストリアスサーモン	巴斯特利亚斯鲑鱼
109	    Albion Herring	アルビオンヘリング	阿尔比昂鲱鱼
110	    Cornian Trout	コルニアトラウト	科尔尼亚鳟鱼
111	    Draken Tilapia	ドラゴンティラピア	龙吴郊鱼
112	    Elheim Pirarucu	エルヘイムピラクル	艾尔海姆皮拉克
113	    Bastorian Smelt	バストリアススメルト	巴斯特利亚斯银鱼
114	    Albion Pike	アルビオンパイク	阿尔比昂梭子鱼
115	    Iron Ore	鉄鉱石	铁矿石
116	    Copper Ore	銅鉱石	铜矿石
117	    Silver Ore	銀鉱石	银矿石
118	    Gold Ore	金鉱石	金矿石
119	    Platinum Ore	白金石	铂金石
120	    Honey Apple	熟成リンゴ	成熟苹果
121	    Ancient Dragon Skull	古代竜の骨	古龙骨
122	    Throney Vine	茨材	荆棘木
123	    Ice Crystal	氷瀑結晶	冰瀑水晶
124	    Goat Milk	ゴートミルク	山羊奶
125	    Meager Timber	小さな端材	小布料
126	    Unsullied Timber	きれいな端材	美丽布料
127	    Sturdy Timber	頑丈な端材	结实布料
128	    Meager Scrap Metal 	小さな鉄片	小铁片
129	    Unsullied Scrap Metal 	きれいな鉄片	美丽铁片
130	    Sturdy Scrap Metal	頑丈な鉄片	结实铁片
133	    Secular Literature	世俗文学書	世俗文学
134	    Palevian Scriptures	パレヴィア教典	帕莱维亚经文
135	    History Of Febris	フェブリス史	费布里斯历史
136	    Sectrieve Rock Salt	セクトリーブ岩塩	赛克特里夫岩盐
137	    Wilter Herb	ヴィルターハーブ	维尔特草
138	    Warnby Pepper	ワーンビー胡椒	沃恩比胡椒
139	    Imitation Sword	模造刀	仿制剑
140	    Music Box	オルゴール	音乐盒
141	    Extravagant Vase	豪勢な壺	奢华花瓶
142	    Gray Jewel	グレージュエール	灰色宝石
143	    Zagavona Wine	ザガヴォーナワイン	扎加沃纳葡萄酒
144	    Merietella Brandy	メリエテラブランデー	梅里泰拉白兰地
145	    Soap	石鹸	肥皂
146	    Perfume	香水	香水
147	    Face Powder	フェイスパウダー	蜜粉
148	    Cut Flowers	切り花	鲜花
149	    Pressed Flowers	押し花	压花
150	    Bouquet	花束	花束
151	    Franc	フラン	法郎
152	    Blancmange	ブランマンジェ	白莫斯
153	    Galette	ガレット	盖莱特
154	    Pro Set	プロセット	专业套装
155	    Cutting Board	カッティングボード	切菜板
156	    Viking Knife	バイキングナイフ	维京刀
157	    Cup And Saucer	カップアンドソーサー	杯子和茶碟
158	    Teapot 	ティーポット	茶壶
159	    Snack Tray	スナックトレイ	小吃托盘
160	    Dice	ダイス	骰子
161	    Cards 	カード	卡牌
162	    Board Game	ボードゲーム	棋盘游戏
163	    Surcaut 	シュールコー	苏尔科特
164	    Cotto 	コット	科托
165	    Chemise 	シュミーズドレス	衬衫
166	    Pencil 	鉛筆	铅笔
167	    Paints 	絵具	颜料
168	    Easel 	イーゼル	画架
169	    Lapis Lazuli 	ラピスラズリ	青金石
170	    Ruby	ルビー	红宝石
171	    Black Diamond	ブラックダイヤ	黑钻石
172	    	グラフスタート	
173	    Cornia Treasure Map 1	コルニア地図1	科尔尼亚藏宝图1
174	    Cornia Treasure Map 2	コルニア地図2	科尔尼亚藏宝图2
175	    Cornia Treasure Map 3	コルニア地図3	科尔尼亚藏宝图3
176	    Cornia Treasure Map 4	コルニア地図4	科尔尼亚藏宝图4
177	    Cornia Treasure Map 5	コルニア地図5	科尔尼亚藏宝图5
178	    Cornia Treasure Map 6	コルニア地図6	科尔尼亚藏宝图6
179	    Drakenhold Treasure Map 1	ドラケンガルド地図1	德拉肯加德藏宝图1
180	    Drakenhold Treasure Map 2	ドラケンガルド地図2	德拉肯加德藏宝图2
181	    Drakenhold Treasure Map 3	ドラケンガルド地図3	德拉肯加德藏宝图3
182	    Drakenhold Treasure Map 4	ドラケンガルド地図4	德拉肯加德藏宝图4
183	    Drakenhold Treasure Map 5	ドラケンガルド地図5	德拉肯加德藏宝图5
184	    Drakenhold Treasure Map 6	ドラケンガルド地図6	德拉肯加德藏宝图6
185	    Elheim Treasure Map 1	エルヘイム地図1	艾尔海姆藏宝图1
186	    Elheim Treasure Map 2	エルヘイム地図2	艾尔海姆藏宝图2
187	    Elheim Treasure Map 3	エルヘイム地図3	艾尔海姆藏宝图3
188	    Elheim Treasure Map 4	エルヘイム地図4	艾尔海姆藏宝图4
189	    Elheim Treasure Map 5	エルヘイム地図5	艾尔海姆藏宝图5
190	    Elheim Treasure Map 6	エルヘイム地図6	艾尔海姆藏宝图6
191	    Bastorias Treasure Map 1	バストリアス地図1	巴斯托利亚斯藏宝图1
192	    Bastorias Treasure Map 2	バストリアス地図2	巴斯托利亚斯藏宝图2
193	    Bastorias Treasure Map 3	バストリアス地図3	巴斯托利亚斯藏宝图3
194	    Bastorias Treasure Map 4	バストリアス地図4	巴斯托利亚斯藏宝图4
195	    Bastorias Treasure Map 5	バストリアス地図5	巴斯托利亚斯藏宝图5
196	    Bastorias Treasure Map 6	バストリアス地図6	巴斯托利亚斯藏宝图6
197	    Albion Treasure Map 1	アルビオン地図1	阿尔比昂藏宝图1
198	    Albion Treasure Map 2	アルビオン地図2	阿尔比昂藏宝图2
199	    Albion Treasure Map 3	アルビオン地図3	阿尔比昂藏宝图3
200	    Albion Treasure Map 4	アルビオン地図4	阿尔比昂藏宝图4
201	    Albion Treasure Map 5	アルビオン地図5	阿尔比昂藏宝图5
202	    Albion Treasure Map 6	アルビオン地図6	阿尔比昂藏宝图6
203	    Emblem Start	紋章スタート	纹章部分开始
204	    Coat Of Arms Of Cornia	コルニアの紋章	科尔尼亚纹章
205	    Coat Of Arms Of Drakengard	ドラケンガルドの紋章	德拉肯加德纹章
206	    Coat Of Arms Of Elheim	エルヘイムの紋章	艾尔海姆纹章
207	    Coat Of Arms Of Bastorias	バストリアスの紋章	巴斯特利亚斯纹章
208	    Coat Of Arms Of Albion	アルビオンの紋章	阿尔比昂纹章
209	    Coat Of Arms Of Zenoira	ゼノイラの紋章	泽诺伊拉纹章
210	    Coat Of Arms Of The Liberation Army	解放軍の紋章	解放军的纹章
211	    Coat Of Arms Of The Swamp Witch	沼地の魔女の紋章	沼泽女巫纹章
212	    Coat Of Arms Of House Obry	オブリー家の紋章	奥布里家族纹章
213	    Coat Of Arms Of The Cornianvolunteers	コルニア義勇軍の紋章	科尔尼亚志愿军纹章
214	    Gray-Blue Knight Group Emblem	灰青騎士団の紋章	灰蓝骑士团纹章
215	    Triangular Beast Mercenary Emblem	三角獣傭兵団の紋章	三角兽佣兵纹章
216	    Iron Helmet Mercenary Emblem	鉄兜傭兵団の紋章	铁头盔佣兵纹章
217	    Celestial Wolf Mercenary Emblem	天狼傭兵団の紋章	天狼佣兵纹章
218	    Black Claw Thieves Emblem	黒爪盗賊団の紋章	黑爪盗贼纹章
219	    Order Of The Rose Emblem	薔薇騎士団の紋章	蔷薇骑士团纹章
220	    Meyer Family Emblem	メイエ家の紋章	迈耶家族纹章
221	    Nordheim Family Emblem	ノルトハイム家の紋章	诺德海姆家族纹章
222	    Schuv Family Emblem Crest	シュヴ家の紋章	舒夫家族纹章
223	    Sechhelm Family Crest	ゼクスヘルム家の紋章	赛赫尔姆家族纹章
224	    Three Poison Mercenaries Crest	三毒傭兵団の紋章	三毒佣兵纹章
225	    Crimson Dragon Knights Crest	紅龍騎士団の紋章	红龙骑士纹章
226	    Sand Scorpion Thieves Crest	砂蠍盗賊団の紋章	沙蝎盗贼纹章
227	    Golden Goat Knights Crest	金羊騎士団の紋章	金羊骑士纹章
228	    Arena Gladiator Crest	闘技場剣闘士の紋章	竞技场角斗士纹章
229	    Hulth Volunteers Crest	フルス義勇軍の紋章	胡尔斯志愿者纹章
230	    Cock-Crown Knights Emblem	鶏冠騎士団の紋章	雄鸡冠骑士团纹章
231	    Elheim Resistance Army Emblem	エルヘイム抵抗軍の紋章	艾尔海姆抵抗军纹章
232	    Black Swan Knights Emblem	黒鳥騎士団の紋章	黑天鹅骑士团纹章
233	    Flame Lance Knights Emblem	炎槍騎士団の紋章	烈焰长枪骑士团纹章
234	    Spirit Knights Emblem	精霊騎士団の紋章	灵魂骑士团纹章
235	    Thorn thorn Knights Emblem 	茨棘騎士団の紋章	荆棘骑士团纹章
236	    Fox Clan Emblem	狐族の紋章	狐狸族纹章
237	    Owl Clan Emblem 	梟族の紋章	猫头鹰族纹章
238	    Wolf Clan Emblem 	狼族の紋章	狼族纹章
239	    Bear Clan Emblem 	熊族の紋章	熊族纹章
240	    Exorcism Knights Emblem 	退魔騎士団の紋章	驱魔骑士团纹章
241	    Ice Octopus Pirates Emblem 	氷蛸海賊団の紋章	冰章鱼海盗纹章
242	    Parevia Orthodox Church Emblem 	パレヴィア正教の紋章	帕雷维亚正教会纹章
243	    Knights Of The Sacred Heart emblem	聖心騎士団の紋章	圣心骑士团纹章
244	    Heavenly Winged Knights Emblem 	天翼騎士団の紋章	天翼骑士团纹章
245	    White Shark Knights Emblem 	白鮫騎士団の紋章	白鲨骑士团纹章
246	    Demonic Knights Emblem 	魔克騎士団の紋章	恶魔骑士团纹章
247	    Albion Alliance Emblem 	アルビオン諸候同盟の紋章	阿尔比昂联盟纹章
248	    Robed Knight Emblem 	法衣騎士の紋章	长袍骑士团纹章
249	    Dead Spirit Corps Emblem 	死靈兵団の紋章	亡灵军团纹章
250	    Rock Rats Emblem 	岩鼠団の紋章	岩鼠纹章
251	    Ruins Investigation Team emblem	遺跡調査団の紋章	废墟调查队纹章
252	    Vigilante Emblem 	自警団の紋章	义军纹章
253	    Thieves Emblem 	盗賊団の紋章	盗贼纹章
254	    Mercenary Corps Emblem 	傭兵団の紋章	佣兵军团纹章
255	    New Cornia Emblem 	新生コルニアの紋章	新科尔尼亚纹章
256	    Elion Emblem 	エリオンの紋章	埃利翁纹章
257	    Hydeland Emblem 	ハイドランドの紋章	海德兰纹章
258	    Sakura High School Emblem	咲良高等学校の紋章	樱花高中纹章
259	    Emblem End	紋章エンド	纹章部分结束
260	    Faded Note 1 	色褪せた手記1	
261	    Faded Note 2 	色褪せた手記2	
262	    Faded Note 3 	色褪せた手記3	
263	    Faded Note 4 	色褪せた手記4	
264	    Faded Note 5	色褪せた手記5	
265	    Dig time Extensions (S)	ディグゲーム時間延長S	挖掘时间延长（小） 
266	    Dig time Extensions (M)	ディグゲーム時間延長M	挖掘时间延长（中）
267	    Dig time Extensions (L)	ディグゲーム時間延長L	挖掘时间延长（大）
268	    False Death Potion 	仮死薬　デバック用	假死药水(用于调试)
269	    Damage Potion 000	ダメージポーション000	伤害药水000
282	    Bronze Sword	青銅の剣	青铜剑
283	    Recruit's Shortsword	新米兵の短剣	新兵短剑
284	    Baroque Sword	バロックソード	巴洛克剑
286	    Iron Sword	鉄の剣	铁剑
287	    Black-Iron Sword	黒鉄の剣	黑铁剑
288	    Carnat Sword	カルナットソード	卡尔纳特剑
289	    Greatwood Sword	大樹の剣	大树剑
290	    Steel Sword	銅の剣	青铜剑
291	    Spellsteel Sword	魔鉄の剣	魔铁剑
292	    Vorpal Sword	ヴォーパルソード	斩首剑
296	    Dragonbone Blade	大竜骨の剣	大龙骨剑
297	    Thorn Blade	茨の棘剣	荆棘剑
298	    Icefall Blade	氷瀑剣	冰瀑剑
299	    Wingcrest Blade	翼紋章の剣	翼纹章剑
301	    Templar's Sword	神殿騎士の剣	神殿骑士剑
302	    Phantom Knight's Sword	幻影騎士の剣	幻影骑士剑
303	    Zenoiran Sword	ゼノイラ兵の剣	泽诺伊拉士兵剑
304	    Zenoiran Knight's Sword	ゼノイラ騎士の剣	泽诺伊拉骑士剑
305	    Heavenswing Sword	天翼騎士の剣	天翼骑士剑
307	    Obsidian Sword	黒曜の剣	黑曜剑
308	    Nameless Greatsword	無名の体験	无名大剑
309	    Veteran's Sword	老兵の古剣	老兵古剑
310	    Hunter's Claymore	猟兵のクレイモア	猎兵双刃大剑
311	    Hallowed Blade	祝福の直剣	祝福直剑
312	    Carnelian Blade	闘神の緋石剣	斗神绯石剑
313	    Meteorite Sword	メテオライトソード	陨石剑
315	    Viperfang	毒蛇の剣	毒蛇剑
316	    Scorpion's Sting	蠍の刺剣	蝎刺剑
317	    Searing Rapier	灼熱の細剣	灼热细剑
318	    Flamberge	フランベルジュ	焰形剑
319	    Barbarian's Might	蛮族の剣	蛮族剑
320	    Dancer's Delight	踊り子の曲剣	舞女弯刀
321	    Crimson Sword	深紅の突剣	深红刺剑
322	    Mist Scimitar	ミストシミター	薄雾弯刀
323	    Sylph's Bane	風断ちの刃	破风刀
324	    Galecutter	風断のファルシオン	破风砍刀
325	    Hailstorm Edge	氷雨の直剣	冰雨直剑
326	    Pursuant's Blade	追撃者の刺剣	追击者刺剑
327	    Cutthroat's Boon	暗殺者の利刃	暗杀者利刃
328	    Moonlight Rapier	月光のレイピア	月光刺剑
329	    Sanguine Blade	ブラッドソード	鲜血剑
330	    Runic Sword	ルーンソード	符文剑
332	    Wyvern Razor	飛竜の細剣	飞龙细剑
333	    Stingray	スティングレイ	刺鳐
334	    Rose Knight Sword	薔薇騎士の剣	蔷薇骑士剑
335	    Bandit Longsword	盗賊騎士の大剣	盗贼骑士大剑
336	    Royal Saber	王家のサーベル	王室佩剑
337	    Greatsword	グレートソード	重剑
338	    Cursed Blade Of The Abyss	深淵の呪剣	深渊咒剑
339	    Cursed Blade Of The Abyss	深淵の呪剣	深渊重剑
340	    Greatsword Of The Abyss	深淵のグレートソード	深渊重剑
341	    Red Rose	レットローズ	莱特罗斯
342	    Blue Rose	ブルーローズ	蓝蔷薇
344	    Kingsblade Cornix	王剣コルニクス	王剑科尼克斯
345	    Notos's Sword	風剣ノトス	风剑诺托斯
346	    Rosularis Sword	ロスラリスの花剣	宝石花剑
347	    Sacral Sword	セイクリットソード	圣崇剑
348	    Holy Unicorn Blade	一角獣の聖剣	独角兽圣剑
349	    Bronze Spear	青銅の槍	青铜枪
350	    Recruit's Shortspear	新兵の短槍	新兵短枪
351	    Baroque Spear	バロックスピア	巴洛克枪
353	    Iron Spear	鉄の槍	铁枪
354	    Black-Iron Spear	黒鉄の槍	黑铁枪
355	    Carnat Spear	カルナットスピア	卡尔纳特枪
356	    Greatwood Spear	大樹の槍	大树枪
357	    Steel Spear	銅の槍	钢枪
358	    Spellsteel Spear	魔鉄の槍	魔铁枪
359	    Vorpal Spear	ヴォーパルスピア	斩首枪
363	    Dragonbone Spear	大竜骨の槍	大龙骨枪
364	    Thorn Spear	茨の棘槍	荆棘枪
365	    Icefall Spear	氷爆槍	冰枪
366	    Wingcrest Spear	翼紋章の槍	翼纹章枪
367	    Watchman's Longspear	塔守の長槍	守塔长枪
368	    Nameless Guard's Spear	名もなき塔守の槍	无名守塔枪
370	    Templar's Spear	神殿騎士の槍	神殿骑士枪
371	    Phantom Knight's Spear	幻影騎士の槍	幻影骑士枪
372	    Zenoiran Spear	ゼノイラ兵の槍	泽诺伊拉士兵枪
373	    Zenoiran Knight's Spear	ゼノイラ騎士の槍	泽诺伊拉骑士枪
374	    Salamander Spear	紅龍騎士の槍	红龙骑士枪
375	    Sacred Heart Spear	聖心騎士の槍	圣心骑士枪
377	    Obsidian Spear	黒曜の槍	黑曜枪
378	    Nameless Greatspear	無名の大槍	无名大枪
379	    Veteran's Pike	老兵の古槍	老兵古枪
380	    Glaive	猟兵のグレイブ	猎人薙刀
381	    Adept's Shortspear	技巧者の短槍	娴熟者短枪
382	    Astral Pike	夜天の長槍	夜天长枪
383	    Carnelian Spear	闘神の緋石槍	斗神绯石枪
384	    Meteorite Lance	メテオライトランス	陨石骑枪
386	    Unwavering Spear	トゥルースピア	真实之枪
387	    Storm Of Hail	氷雨の直槍	冰雨直枪
388	    Corroded Spear	錆びた黒槍	生锈的黑枪
389	    Valkyrie's Partisan	戦姫のパルチザン	战姬阔头枪
390	    Surging Shortspear	突撃兵の槍	突击兵短枪
391	    Usurper's Spear	簒奪者の槍	篡夺者之枪
392	    Elfeater	エルフイーター	精灵吞噬者
393	    General's Pike	名将の長槍	名将长枪
394	    Canyon Lance	キャニオンランス	峡谷骑枪
395	    Helix Spear	大旋槍	大旋枪
396	    Dragoon's Warspear	竜騎士の戦槍	龙骑士战枪
397	    Bloody Spear	ブラットスピア	鲜血枪
398	    Runic Spear	ルーンスピア	符文枪
400	    Twinned Bough	霊樹の双子槍	灵树双子枪（冰冻）
401	    Twinned Bough	霊樹の双子槍	灵树双子枪（雷霆）
402	    Silver Trident	白銀のトライデント	白银三叉戟
403	    Crimson Sarissa	血濡れのサリッサ	染血长矛
404	    Flame Javelin	炎魔石の手槍	炎魔石短枪
405	    Death Pillar	デスピラー	死之刺
406	    Cursed Lance Of The Abyss	深淵の呪槍	深渊咒枪（22攻击）
407	    Cursed Lance Of The Abyss	深淵の呪槍	深渊咒枪（25攻击）
408	    Testarossa	テスタロッサ	赤翎
410	    Kingslance Elhal	王槍エルヘリム	王枪艾尔海利姆
411	    Zephyros's Spear	風槍ゼピュロス	风枪萨菲罗斯
412	    Orchis Spear	オーキスの花槍	红门兰花枪
413	    Sacral Spear	セイクリッドスピア	圣崇长枪
414	    Lance Of Devotion	ランスオブデヴォーション	忠胆骑枪
415	    Bronze Axe	青銅の斧	青铜斧
416	    Recruit's Handaxe	新兵の手斧	新兵手斧
417	    Baroque Axe	バロックアクス	巴洛克斧
419	    Iron Axe	鉄の斧	铁斧
420	    Black-Iron Axe	黒鉄の斧	黑铁斧
421	    Carnat Axe	カルナットアックス	卡尔纳特斧
422	    Greatwood Axe	大樹の斧	大树斧
423	    Steel Axe	鉄の斧	钢斧
424	    Spellsteel Axe	魔鉄の斧	魔铁斧
425	    Vorpal Axe	ヴォーパルアクス	斩首斧
429	    Dragonbone Axe	大竜骨の斧	大龙骨斧
430	    Thorn Axe	茨の棘斧	荆棘斧
431	    Icefall Axe	氷瀑斧	冰瀑斧
432	    Wingcrest Axe	翼紋章の斧	翼纹章斧
434	    Templar's Axe	神殿騎士の斧	神殿骑士斧
435	    Phantom Knight's Axe	幻影騎士の斧	幻影骑士斧
436	    Zenoiran Axe	ゼノイラ兵の斧	泽诺伊拉士兵斧
437	    Zenoiran Knight Axe	ゼノイラ騎士の斧	泽诺伊拉骑士斧
438	    Bandit's Handaxe	盗賊騎士の手斧	盗贼骑士手斧
439	    Golden Ram Axe	金羊騎士の斧	金羊骑士斧
441	    Obsidian Axe	黒曜の斧	黑曜斧
442	    Nameless Greataxe	無名の大斧	无名大斧
443	    Veteran's Axe	老兵の古斧	老兵古斧
444	    Hunter's Halberd	猟兵のハルバード	猎人斧枪
445	    Knot Of Ruin	破滅の黒塊	破灭之黑块
446	    Carnelian Axe	闘神の緋石斧	斗神绯石斧
447	    Meteorite Axe	メテオライトアックス	陨石斧
449	    Crushing Axe	クラッシュアックス	破坏之斧
450	    Hoarfrost Axe	樹氷の斧	雾凇斧
451	    Frozen Battleaxe	凍てついた戦斧	冰封战斧
452	    Barbarian's Axe	蛮族の斧	蛮族斧
453	    Mason's Hammer	石工の槌	石工锤
454	    Spiked Hammer	スパイクハンマー	钉锤
455	    Headsman's Axe	処刑人の断斧	刽子手的断斧
456	    Eliminator	エリミネーター	清道夫
457	    Morningstar	グッドモーニングスター	启明星
458	    Silvermoon Axe	銀月の斧	银月斧
459	    Giant's Greataxe	巨人の大斧	巨人大斧
460	    Banishing Hammer	バニッシュハンマー	湮灭之锤
461	    Dark Knight Cleaver	暗黒騎士の戦斧	黑暗骑士战斧
462	    Berserker's Battleaxe	狂戦士の戦斧	狂战士战斧
463	    Sanguine Axe	ブラッドアックス	鲜血斧
464	    Runic Axe	ルーンアックス	符文斧
466	    Rose Knight Axe	薔薇騎士の斧	蔷薇骑士斧
467	    Rose Knight Hammer	薔薇騎士の槌	蔷薇骑士锤
468	    Labrys	ラブリュス	双刃斧
469	    Warhammer	ウォーハンマー	战锤
470	    Black Axe Of The Abyss 1	深淵の黒斧	深渊黑斧（13攻击）
471	    Black Axe Of The Abyss 2	深淵の黒斧	深渊黑斧（25攻击）
472	    Cursed Axe Of The Abyss 1	深淵の呪斧	深渊咒斧（20攻击）
473	    Cursed Axe Of The Abyss 2	深淵の呪斧	深渊咒斧（25攻击）
474	    Juggernaut	ジャガーノート	无坚不摧
476	    Kingsaxe Drakenash	王斧ドランガッシュ	王斧德拉恩加修
477	    Boreas's Axe	風斧ボレアス	风斧波瑞阿斯
478	    Helleborus Axe	ヘレボルスの花斧	铁筷子花斧
479	    Sacral Axe	セイクリッドアクス	圣崇斧
481	    Bronze Bow	青銅の弓	青铜弓
482	    Recruit's Shortbow	新兵の短弓	新兵短弓
483	    Baroque Bow	バロックボウ	巴洛克弓
485	    Iron Bow	鉄の弓	铁弓
486	    Black-Iron Bow	黒鉄の弓	黑铁弓
487	    Carnat Bow	カルナットボウ	卡尔纳特弓
488	    Greatwood Bow	大樹の弓	大树弓
489	    Steel Bow	鉄の弓	钢弓
490	    Spellsteel Bow	魔鉄の弓	魔铁弓
491	    Vorpal Bow	ヴォーパルボウ	斩首弓
495	    Dragonbone Bow	大竜骨の弓	大龙骨弓
496	    Thorn Bow	茨の棘弓	荆棘弓
497	    Icefall Bow	氷瀑弓	冰瀑弓
498	    Wingcrest Bow	翼紋章の弓	翼纹章弓
